precinct,address,lon,lat
Precinct01,214 w 11 st,-74.00179834,40.73629181
Precinct01,36 perry st,-74.00249384,40.73546432
Precinct01,160 leroy st,-74.01001166,40.73019354
Precinct01,228 bleecker st,-74.00254209,40.73010291
Precinct01,201 varick st,-74.00627211,40.7283317
Precinct01,144 w houston st,-74.00172497,40.72816091
Precinct01,45 king st,-74.00466543,40.72803462
Precinct01,25 king st,-74.00377606,40.72791704
Precinct01,23 king st,-74.00368738,40.72790853
Precinct01,183 varick st,-74.00592063,40.72772751
Precinct01,350 hudson st,-74.00684186,40.72764954
Precinct01,350 hudson st,-74.00684186,40.72764954
Precinct01,350 hudson st,-74.00684186,40.72764954
Precinct01,110 w houston st,-74.00060131,40.72763788
Precinct01,44 king st,-74.00447887,40.72756336
Precinct01,108 w houston st,-74.00055189,40.72755856
Precinct01,32 king st,-74.00402303,40.72752117
Precinct01,20 king st,-74.00355381,40.72747774
Precinct01,94 w houston st,-74.00001413,40.72734196
Precinct01,92 w houston st,-73.99995578,40.72731317
Precinct01,33 charlton st,-74.00454245,40.72728751
Precinct01,333 hudson st,-74.00768694,40.72713454
Precinct01,333 hudson st,-74.00768694,40.72713454
Precinct01,142 sullivan st,-74.00220452,40.72711807
Precinct01,141 sullivan st,-74.00173481,40.72686713
Precinct01,40 charlton st,-74.00484091,40.72686476
Precinct01,40 charlton st,-74.00484091,40.72686476
Precinct01,134 sullivan st,-74.00232076,40.72685028
Precinct01,30 charlton st,-74.00445338,40.72682718
Precinct01,20 charlton st,-74.00409985,40.7267929
Precinct01,20 charlton st,-74.00409985,40.7267929
Precinct01,20 charlton st,-74.00409985,40.7267929
Precinct01,160 varick st,-74.00521534,40.72673699
Precinct01,160 varick st,-74.00521534,40.72673699
Precinct01,160 varick st,-74.00521534,40.72673699
Precinct01,160 varick st,-74.00521534,40.72673699
Precinct01,160 varick st,-74.00521534,40.72673699
Precinct01,160 varick st,-74.00521534,40.72673699
